nome,siglaPartido,siglaUf,urlFoto
ABEL MESQUITA JR.,DEM,RR,http://www.camara.leg.br/internet/deputado/bandep/178957.jpg
ADAIL CARNEIRO,PODE,CE,http://www.camara.leg.br/internet/deputado/bandep/178864.jpg
ADALBERTO CAVALCANTI,AVANTE,PE,http://www.camara.leg.br/internet/deputado/bandep/178914.jpg
ADELMO CARNEIRO LEÃO,PT,MG,http://www.camara.leg.br/internet/deputado/bandep/178890.jpg
ADELSON BARRETO,PR,SE,http://www.camara.leg.br/internet/deputado/bandep/178968.jpg
ADILTON SACHETTI,PRB,MT,http://www.camara.leg.br/internet/deputado/bandep/178903.jpg
AELTON FREITAS,PR,MG,http://www.camara.leg.br/internet/deputado/bandep/141372.jpg
AFONSO FLORENCE,PT,BA,http://www.camara.leg.br/internet/deputado/bandep/160508.jpg
AFONSO HAMM,PP,RS,http://www.camara.leg.br/internet/deputado/bandep/136811.jpg
AFONSO MOTTA,PDT,RS,http://www.camara.leg.br/internet/deputado/bandep/178835.jpg
AGUINALDO RIBEIRO,PP,PB,http://www.camara.leg.br/internet/deputado/bandep/160527.jpg
ALAN RICK,DEM,AC,http://www.camara.leg.br/internet/deputado/bandep/178836.jpg
ALBERTO FRAGA,DEM,DF,http://www.camara.leg.br/internet/deputado/bandep/73579.jpg
ALCEU MOREIRA,MDB,RS,http://www.camara.leg.br/internet/deputado/bandep/160559.jpg
ALESSANDRO MOLON,PSB,RJ,http://www.camara.leg.br/internet/deputado/bandep/160511.jpg
ALEX CANZIANI,PTB,PR,http://www.camara.leg.br/internet/deputado/bandep/73458.jpg
ALEX MANENTE,PPS,SP,http://www.camara.leg.br/internet/deputado/bandep/178972.jpg
ALEXANDRE LEITE,DEM,SP,http://www.camara.leg.br/internet/deputado/bandep/160545.jpg
ALEXANDRE SERFIOTIS,PSD,RJ,http://www.camara.leg.br/internet/deputado/bandep/178833.jpg
ALEXANDRE VALLE,PR,RJ,http://www.camara.leg.br/internet/deputado/bandep/178936.jpg
ALFREDO KAEFER,PP,PR,http://www.camara.leg.br/internet/deputado/bandep/141454.jpg
ALFREDO NASCIMENTO,PR,AM,http://www.camara.leg.br/internet/deputado/bandep/178846.jpg
ALICE PORTUGAL,PCdoB,BA,http://www.camara.leg.br/internet/deputado/bandep/74057.jpg
ALIEL MACHADO,PSB,PR,http://www.camara.leg.br/internet/deputado/bandep/178927.jpg
ALTINEU CÔRTES,PR,RJ,http://www.camara.leg.br/internet/deputado/bandep/178937.jpg
ALUISIO MENDES,PODE,MA,http://www.camara.leg.br/internet/deputado/bandep/178881.jpg
ANA PERUGINI,PT,SP,http://www.camara.leg.br/internet/deputado/bandep/178973.jpg
ANDRÉ ABDON,PP,AP,http://www.camara.leg.br/internet/deputado/bandep/178831.jpg
ANDRÉ AMARAL,PROS,PB,http://www.camara.leg.br/internet/deputado/bandep/195143.jpg
ANDRÉ DE PAULA,PSD,PE,http://www.camara.leg.br/internet/deputado/bandep/74471.jpg
ANDRÉ FIGUEIREDO,PDT,CE,http://www.camara.leg.br/internet/deputado/bandep/133439.jpg
ANDRÉ FUFUCA,PP,MA,http://www.camara.leg.br/internet/deputado/bandep/178882.jpg
ANDRE MOURA,PSC,SE,http://www.camara.leg.br/internet/deputado/bandep/160543.jpg
ANDRES SANCHEZ,PT,SP,http://www.camara.leg.br/internet/deputado/bandep/178974.jpg
ANGELIM,PT,AC,http://www.camara.leg.br/internet/deputado/bandep/178837.jpg
ANÍBAL GOMES,DEM,CE,http://www.camara.leg.br/internet/deputado/bandep/74212.jpg
ANTONIO BALHMANN,PDT,CE,http://www.camara.leg.br/internet/deputado/bandep/74213.jpg
ANTONIO BRITO,PSD,BA,http://www.camara.leg.br/internet/deputado/bandep/160553.jpg
ANTONIO BULHÕES,PRB,SP,http://www.camara.leg.br/internet/deputado/bandep/141383.jpg
ANTONIO CARLOS MENDES THAME,PV,SP,http://www.camara.leg.br/internet/deputado/bandep/73584.jpg
ANTONIO IMBASSAHY,PSDB,BA,http://www.camara.leg.br/internet/deputado/bandep/160530.jpg
ANTÔNIO JÁCOME,PODE,RN,http://www.camara.leg.br/internet/deputado/bandep/178950.jpg
ARLINDO CHINAGLIA,PT,SP,http://www.camara.leg.br/internet/deputado/bandep/73433.jpg
ARNALDO FARIA DE SÁ,PP,SP,http://www.camara.leg.br/internet/deputado/bandep/73434.jpg
ARNALDO JARDIM,PPS,SP,http://www.camara.leg.br/internet/deputado/bandep/141391.jpg
ARNALDO JORDY,PPS,PA,http://www.camara.leg.br/internet/deputado/bandep/160602.jpg
AROLDE DE OLIVEIRA,PSD,RJ,http://www.camara.leg.br/internet/deputado/bandep/74833.jpg
ARTHUR LIRA,PP,AL,http://www.camara.leg.br/internet/deputado/bandep/160541.jpg
ARTHUR OLIVEIRA MAIA,DEM,BA,http://www.camara.leg.br/internet/deputado/bandep/160600.jpg
ARTHUR VIRGÍLIO BISNETO,PSDB,AM,http://www.camara.leg.br/internet/deputado/bandep/178847.jpg
ASSIS CARVALHO,PT,PI,http://www.camara.leg.br/internet/deputado/bandep/159237.jpg
